Date,Price,Open,High,Low,Vol.,Change %
2010-01-09,1.3859,1.4063,1.4107,1.3343,,-1.67%
2010-01-08,1.4095,1.3227,1.4158,1.2893,,6.59%
2010-01-07,1.3223,1.357,1.378,1.2778,,-2.43%
2010-01-06,1.3552,1.2705,1.3568,1.2531,,6.58%
2010-01-05,1.2715,1.2759,1.3125,1.2271,,-0.35%
2010-01-04,1.276,1.3338,1.3544,1.2652,,-4.43%
2010-01-03,1.3351,1.331,1.3585,1.3126,,0.05%
2010-01-02,1.3344,1.3466,1.37,1.3135,,-0.76%
2010-01-01,1.3446,1.3355,1.361,1.3071,,0.98%
2009-01-12,1.3315,1.3897,1.3928,1.326,,-4.19%
2009-01-11,1.3898,1.3643,1.4099,1.3177,,2.48%
2009-01-10,1.3562,1.3346,1.363,1.3036,,1.60%
2009-01-09,1.3349,1.3779,1.4029,1.3281,,-2.99%
2009-01-08,1.376,1.4181,1.4207,1.3591,,-2.69%
2009-01-07,1.4141,1.4254,1.4891,1.3974,,-0.79%
2009-01-06,1.4254,1.4602,1.496,1.4089,,-2.64%
2009-01-05,1.464,1.5541,1.5593,1.4599,,-5.65%
2009-01-04,1.5517,1.5644,1.5798,1.4726,,-0.63%
2009-01-03,1.5615,1.7107,1.7545,1.5254,,-8.56%
2009-01-02,1.7076,1.6943,1.7323,1.5841,,0.68%
2009-01-01,1.6961,1.6002,1.7079,1.4915,,5.72%
2008-01-12,1.6043,1.5097,1.6569,1.5083,,7.15%
2008-01-11,1.4973,1.4803,1.5761,1.4024,,0.96%
2008-01-10,1.483,1.3301,1.6112,1.3123,,11.52%
2008-01-09,1.3298,1.3014,1.3934,1.2994,,2.74%
2008-01-08,1.2943,1.3023,1.3504,1.2717,,-0.55%
2008-01-07,1.3014,1.2854,1.3096,1.2708,,1.15%
2008-01-06,1.2866,1.2252,1.297,1.2191,,5.00%
2008-01-05,1.2253,1.2346,1.2607,1.1979,,-0.87%
2008-01-04,1.2361,1.2793,1.283,1.2209,,-3.48%
2008-01-03,1.2807,1.2012,1.2874,1.1856,,6.52%
2008-01-02,1.2023,1.1724,1.2033,1.1247,,2.38%
2008-01-01,1.1744,1.1512,1.2203,1.1442,,2.06%
2007-01-12,1.1507,1.1586,1.1822,1.1064,,-0.35%
2007-01-11,1.1547,1.1169,1.2186,1.1126,,3.31%
2007-01-10,1.1177,1.1293,1.1666,1.0853,,-1.45%
2007-01-09,1.1342,1.1811,1.2357,1.125,,-3.58%
2007-01-08,1.1763,1.0933,1.2452,1.0745,,7.57%
2007-01-07,1.0935,1.0567,1.1015,1.0211,,3.09%
2007-01-06,1.0607,1.1071,1.1084,1.0496,,-4.29%
2007-01-05,1.1083,1.1169,1.1304,1.1054,,-0.83%
2007-01-04,1.1176,1.1512,1.1564,1.1049,,-2.78%
2007-01-03,1.1496,1.1671,1.2188,1.1417,,-1.56%
2007-01-02,1.1678,1.1632,1.1902,1.1369,,0.16%
2007-01-01,1.1659,1.1639,1.1826,1.1393,,0.06%
2006-01-12,1.1652,1.2193,1.2279,1.1568,,-4.42%
2006-01-11,1.2191,1.1979,1.2404,1.1859,,1.63%
2006-01-10,1.1995,1.2262,1.2325,1.1821,,-2.01%
2006-01-09,1.2241,1.2367,1.2643,1.1941,,-1.11%
2006-01-08,1.2378,1.3147,1.3235,1.2337,,-5.81%
2006-01-07,1.3141,1.3413,1.3524,1.2699,,-2.44%
2006-01-06,1.347,1.2928,1.3552,1.2779,,4.15%
2006-01-05,1.2933,1.2649,1.346,1.253,,2.04%
2006-01-04,1.2674,1.2464,1.2787,1.2297,,1.71%
2006-01-03,1.2461,1.1504,1.2756,1.142,,8.21%
2006-01-02,1.1516,1.1362,1.1643,1.1197,,1.05%
2006-01-01,1.1396,1.1151,1.1742,1.1091,,2.22%
2005-01-12,1.1148,1.0805,1.137,1.057,,3.05%
2005-01-11,1.0818,1.1079,1.1321,1.0779,,-2.34%
2005-01-10,1.1077,1.1152,1.133,1.0982,,-0.79%
2005-01-09,1.1165,1.1153,1.1384,1.1083,,-2.64%
2005-01-08,1.1468,1.1459,1.1468,1.1459,,0.41%
2005-01-07,1.1421,1.1416,1.1421,1.1416,,2.06%
2005-01-06,1.1191,1.1179,1.1191,1.1179,,-1.58%
2005-01-05,1.1371,1.136,1.1371,1.136,,-0.52%
2005-01-04,1.143,1.1415,1.143,1.1415,,-2.70%
2005-01-03,1.1747,1.174,1.1747,1.174,,-0.85%
2005-01-02,1.1848,1.1837,1.1848,1.1837,,-0.03%
2005-01-01,1.1851,1.1844,1.1851,1.1844,,-3.14%
2004-01-12,1.2235,1.2226,1.2235,1.2226,,-0.29%
2004-01-11,1.2271,1.2259,1.2271,1.2259,,0.33%
2004-01-10,1.2231,1.2219,1.2231,1.2219,,3.26%
2004-01-09,1.1845,1.184,1.1845,1.184,,-1.61%
2004-01-08,1.2039,1.2031,1.2039,1.2031,,-1.80%
2004-01-07,1.226,1.2253,1.226,1.2253,,-2.55%
2004-01-06,1.2581,1.2569,1.2581,1.2569,,-0.25%
2004-01-05,1.2613,1.2601,1.2613,1.2601,,2.67%
2004-01-04,1.2285,1.2278,1.2285,1.2278,,3.92%
2004-01-03,1.1822,1.181,1.1822,1.181,,2.53%
2004-01-02,1.153,1.1521,1.153,1.1521,,-2.21%
2004-01-01,1.179,1.1779,1.179,1.1779,,-4.25%
2003-01-12,1.2313,1.2305,1.2313,1.2305,,1.68%
2003-01-11,1.2109,1.2099,1.2109,1.2099,,-0.42%
2003-01-10,1.216,1.2149,1.216,1.2149,,-4.65%
2003-01-09,1.2753,1.2739,1.2753,1.2739,,3.27%
2003-01-08,1.2349,1.2336,1.2349,1.2336,,-1.69%
2003-01-07,1.2561,1.2548,1.2561,1.2548,,-0.30%
2003-01-06,1.2599,1.2592,1.2599,1.2592,,-5.65%
2003-01-05,1.3353,1.3337,1.3353,1.3337,,1.64%
2003-01-04,1.3137,1.3122,1.3137,1.3122,,-1.62%
2003-01-03,1.3354,1.3337,1.3354,1.3337,,1.09%
2003-01-02,1.321,1.3198,1.321,1.3198,,-1.80%
2003-01-01,1.3452,1.3445,1.3452,1.3445,,-2.59%
2002-01-12,1.3809,1.3795,1.3809,1.3795,,2.00%
2002-01-11,1.3538,1.3524,1.3538,1.3524,,-2.73%
2002-01-10,1.3918,1.3901,1.3918,1.3901,,-3.59%
2002-01-09,1.4436,1.4417,1.4436,1.4417,,1.53%
2002-01-08,1.4218,1.4201,1.4218,1.4201,,-1.58%
2002-01-07,1.4446,1.4428,1.4446,1.4428,,4.22%
2002-01-06,1.3861,1.3846,1.3861,1.3846,,4.58%
2002-01-05,1.3254,1.3242,1.3254,1.3242,,-4.03%
2002-01-04,1.381,1.3796,1.381,1.3796,,2.43%
2002-01-03,1.3483,1.3464,1.3483,1.3464,,-3.51%
2002-01-02,1.3973,1.3952,1.3973,1.3952,,0.11%
2002-01-01,1.3957,1.3942,1.3957,1.3942,,-3.45%
2001-01-12,1.4456,1.4436,1.4456,1.4436,,-1.07%
2001-01-11,1.4613,1.4594,1.4613,1.4594,,-1.82%
2001-01-10,1.4884,1.4868,1.4884,1.4868,,-1.99%
2001-01-09,1.5186,1.5171,1.5186,1.5171,,10.93%
2001-01-08,1.369,1.3675,1.369,1.3675,,-2.23%
2001-01-07,1.4002,1.3986,1.4002,1.3986,,2.07%
2001-01-06,1.3718,1.3702,1.3718,1.3702,,0.88%
2001-01-05,1.3599,1.3583,1.3599,1.3583,,-2.43%
2001-01-04,1.3938,1.3922,1.3938,1.3922,,-2.20%
2001-01-03,1.4252,1.4234,1.4252,1.4234,,2.50%
2001-01-02,1.3905,1.389,1.3905,1.389,,1.19%
2001-01-01,1.3742,1.3727,1.3742,1.3727,,-1.84%
2000-01-12,1.4,1.398,1.4,1.398,,-0.22%
2000-01-11,1.4031,1.4015,1.4031,1.4015,,0.06%
2000-01-10,1.4022,1.4006,1.4022,1.4006,,-1.43%
2000-01-09,1.4226,1.421,1.4226,1.421,,5.86%
2000-01-08,1.3439,1.3424,1.3439,1.3424,,2.07%
2000-01-07,1.3167,1.3153,1.3167,1.3153,,0.86%
2000-01-06,1.3055,1.3045,1.3055,1.3045,,0.50%
2000-01-05,1.299,1.2976,1.299,1.2976,,8.24%
2000-01-04,1.2001,1.1989,1.2001,1.1989,,-0.83%
2000-01-03,1.2101,1.2091,1.2101,1.2091,,-1.21%
2000-01-02,1.2249,1.2238,1.2249,1.2238,,0.55%
2000-01-01,1.2182,1.217,1.2182,1.217,,1.48%
