Date,Price,Open,High,Low,Vol.,Change %
2021-01-05,9.255,9.0995,9.383,9.0632,,1.70%
2021-01-04,9.1,9.0627,9.2902,8.9684,,0.46%
2021-01-03,9.0583,9.5305,9.5673,9.0144,,-4.87%
2021-01-02,9.5223,9.6351,9.6706,9.1784,,-0.63%
2021-01-01,9.5829,9.6834,9.8253,9.465,,-1.08%
2020-01-12,9.6871,9.7593,9.9768,9.6504,,-0.96%
2020-01-11,9.7807,10.3968,10.4672,9.7086,,-5.92%
2020-01-10,10.3966,10.1353,10.5005,10.006,,2.63%
2020-01-09,10.1304,9.642,10.3718,9.5929,,5.02%
2020-01-08,9.6464,9.9922,10.0415,9.6283,,-3.06%
2020-01-07,9.9507,10.16,10.2049,9.7296,,-1.95%
2020-01-06,10.1488,10.1031,10.294,9.6109,,0.60%
2020-01-05,10.0879,10.6073,10.9525,10.0513,,-4.89%
2020-01-04,10.6063,10.8244,11.1314,10.4399,,-1.98%
2020-01-03,10.8201,9.7463,12.4959,9.6341,,11.19%
2020-01-02,9.7308,9.5482,9.8358,9.4002,,1.91%
2020-01-01,9.5486,9.0702,9.5708,9.0261,,5.32%
2019-01-12,9.0667,9.2137,9.3485,9.0337,,-1.62%
2019-01-11,9.2161,9.3188,9.3265,9.129,,-1.06%
2019-01-10,9.3145,9.1132,9.35,9.0767,,2.25%
2019-01-09,9.1099,9.2138,9.259,8.9537,,-1.05%
2019-01-08,9.2062,8.9172,9.2645,8.8995,,3.25%
2019-01-07,8.916,8.741,8.94,8.6111,,2.04%
2019-01-06,8.7375,8.7515,8.811,8.6643,,-0.07%
2019-01-05,8.7438,8.4667,8.7586,8.4536,,3.31%
2019-01-04,8.4634,8.649,8.6638,8.3478,,-2.28%
2019-01-03,8.6606,8.5763,8.7361,8.4727,,1.02%
2019-01-02,8.5735,8.4799,8.6946,8.449,,1.17%
2019-01-01,8.474,8.8039,8.8848,8.4572,,-3.69%
2018-01-12,8.7988,8.6023,8.9278,8.4942,,2.33%
2018-01-11,8.5983,8.3652,8.6415,8.2952,,2.84%
2018-01-10,8.3606,8.2958,8.3987,8.2088,,0.83%
2018-01-09,8.2916,8.6538,8.7375,8.2872,,-4.17%
2018-01-08,8.6527,8.2372,8.6627,8.2178,,5.10%
2018-01-07,8.2326,8.221,8.2689,8.0571,,0.22%
2018-01-06,8.2143,8.2975,8.3071,8.11,,-0.96%
2018-01-05,8.2941,8.0891,8.4101,7.9566,,2.56%
2018-01-04,8.0867,8.2291,8.2752,7.9871,,-1.61%
2018-01-03,8.2193,8.3651,8.4116,8.0859,,-1.70%
2018-01-02,8.3617,8.2806,8.5928,8.2311,,1.03%
2018-01-01,8.2766,8.4253,8.427,8.1453,,-1.73%
2017-01-12,8.4226,8.458,8.5382,8.31,,-0.38%
2017-01-11,8.4547,8.1879,8.4853,8.114,,3.31%
2017-01-10,8.1838,8.2381,8.2459,8.0577,,-0.42%
2017-01-09,8.2187,8.0956,8.2476,8.0169,,1.55%
2017-01-08,8.0932,8.1328,8.3407,8.0736,,-0.45%
2017-01-07,8.1299,8.7044,8.7262,8.1198,,-6.62%
2017-01-06,8.7067,8.7169,8.8277,8.6347,,-0.07%
2017-01-05,8.7126,8.6011,8.84,8.5068,,1.06%
2017-01-04,8.6213,8.5726,8.7203,8.5009,,0.64%
2017-01-03,8.5666,8.3453,8.6517,8.302,,2.69%
2017-01-02,8.3421,8.3348,8.375,8.2495,,0.11%
2017-01-01,8.3327,8.4779,8.4976,8.3043,,-1.69%
2016-01-12,8.476,8.3827,8.5125,8.2757,,1.23%
2016-01-11,8.3734,8.3521,8.6027,8.323,,0.34%
2016-01-10,8.3449,8.2277,8.3863,8.1217,,1.57%
2016-01-09,8.2163,8.4631,8.5207,8.202,,-2.87%
2016-01-08,8.4594,8.7007,8.7895,8.3894,,-2.84%
2016-01-07,8.7066,8.5693,8.7957,8.5077,,1.82%
2016-01-06,8.5513,8.4341,8.9964,8.3485,,1.44%
2016-01-05,8.4302,8.4118,8.5428,8.3095,,0.65%
