Date,Price,Open,High,Low,Vol.,Change %
2021-01-01,117.54,117.03,118.03,116.22,,0.81%
2020-01-12,116.59,114.74,117.79,114.68,,1.67%
2020-01-11,114.67,114.05,116.14,113.74,,0.50%
2020-01-10,114.1,114.51,116.62,113.76,,-0.29%
2020-01-09,114.43,117.21,117.51,113.25,,-2.32%
2020-01-08,117.15,115.99,117.92,114.98,,1.06%
2020-01-07,115.92,113.94,116.33,113.0,,1.76%
2020-01-06,113.91,112.1,114.61,111.79,,1.60%
2020-01-05,112.12,110.99,112.25,108.67,,1.02%
2020-01-04,110.99,111.91,112.54,109.15,,-0.79%
2020-01-03,111.87,111.21,114.03,109.26,,-0.04%
2020-01-02,111.92,112.55,114.29,111.32,,-0.52%
2020-01-01,112.5,112.21,114.4,110.9,,0.29%
2019-01-12,112.18,109.51,112.57,109.4,,2.48%
2019-01-11,109.47,109.53,110.2,108.82,,-0.01%
2019-01-10,109.48,108.29,110.4,106.71,,1.12%
2019-01-09,108.27,107.41,109.6,106.85,,0.88%
2019-01-08,107.33,109.4,109.82,107.18,,-1.87%
2019-01-07,109.37,110.74,110.92,109.06,,-1.01%
2019-01-06,110.49,108.26,110.59,108.11,,2.17%
2019-01-05,108.14,109.32,109.75,107.6,,-1.07%
2019-01-04,109.31,111.32,112.0,109.08,,-1.82%
2019-01-03,111.34,111.57,112.21,109.88,,-0.18%
2019-01-02,111.54,109.5,111.82,108.72,,1.90%
2019-01-01,109.46,111.63,111.83,106.07,,-1.91%
2018-01-12,111.59,113.6,114.67,111.24,,-1.73%
2018-01-11,113.56,111.98,114.44,111.82,,1.45%
2018-01-10,111.94,115.77,116.19,111.54,,-3.27%
2018-01-09,115.73,114.66,118.07,113.92,,1.00%
2018-01-08,114.58,112.97,115.32,110.69,,1.46%
2018-01-07,112.93,111.75,113.29,110.97,,1.16%
2018-01-06,111.64,110.39,112.24,110.1,,1.15%
2018-01-05,110.37,110.36,111.93,108.5,,0.05%
2018-01-04,110.32,111.48,112.3,110.17,,-0.87%
2018-01-03,111.29,112.93,113.51,110.37,,-1.43%
2018-01-02,112.9,117.23,118.58,112.81,,-3.68%
2018-01-01,117.21,115.63,117.56,113.65,,1.37%
2017-01-12,115.63,114.41,115.77,113.28,,1.10%
2017-01-11,114.37,113.89,114.73,112.95,,0.45%
2017-01-10,113.86,116.25,116.44,113.39,,-1.96%
2017-01-09,116.14,114.71,116.5,113.31,,1.26%
2017-01-08,114.69,114.03,115.35,112.54,,0.61%
2017-01-07,113.99,117.01,118.63,113.79,,-2.75%
2017-01-06,117.21,114.46,117.81,112.49,,2.44%
2017-01-05,114.42,111.84,115.2,111.78,,2.12%
2017-01-04,112.05,111.05,112.64,107.67,,0.94%
2017-01-03,111.01,112.13,114.33,111.0,,-0.95%
2017-01-02,112.08,114.01,114.81,111.04,,-1.68%
2017-01-01,113.99,114.94,115.45,112.33,,-0.61%
2016-01-12,114.69,112.56,115.54,110.94,,2.00%
2016-01-11,112.44,105.98,112.64,105.49,,6.14%
2016-01-10,105.94,104.32,106.5,103.98,,1.59%
2016-01-09,104.28,105.13,106.38,102.82,,-0.74%
2016-01-08,105.06,105.28,106.22,103.24,,-0.17%
2016-01-07,105.24,105.82,108.96,102.04,,-0.49%
2016-01-06,105.76,111.43,111.83,101.89,,-5.04%
2016-01-05,111.37,110.93,112.81,109.8,,0.52%
2016-01-04,110.79,117.04,117.32,110.72,,-5.28%
2016-01-03,116.96,112.87,117.45,111.93,,3.72%
2016-01-02,112.77,118.33,119.09,112.23,,-4.62%
2016-01-01,118.23,120.15,120.43,115.29,,-1.49%
2015-01-12,120.02,119.67,124.12,119.23,,0.33%
2015-01-11,119.63,122.14,123.43,118.64,,-1.95%
2015-01-10,122.01,123.19,126.0,121.14,,-0.87%
2015-01-09,123.08,125.36,125.82,121.89,,-1.80%
2015-01-08,125.33,128.39,129.13,124.92,,-2.25%
2015-01-07,128.22,130.95,131.43,127.1,,-2.05%
2015-01-06,130.91,132.01,134.72,129.66,,-0.81%
2015-01-05,131.98,127.96,132.5,127.71,,3.15%
2015-01-04,127.95,123.51,128.3,121.93,,3.61%
2015-01-03,123.49,125.31,125.82,119.9,,-1.47%
2015-01-02,125.33,127.54,130.12,124.35,,-1.65%
2015-01-01,127.43,120.37,157.51,114.04,,5.88%
2014-01-12,120.35,122.92,124.53,120.33,,-1.98%
2014-01-11,122.78,116.79,124.19,116.43,,5.31%
2014-01-10,116.59,114.81,116.8,111.21,,1.59%
2014-01-09,114.76,113.44,117.06,112.55,,1.31%
2014-01-08,113.28,113.13,114.28,111.86,,0.15%
2014-01-07,113.11,114.27,114.86,112.22,,-0.97%
2014-01-06,114.22,113.71,114.98,113.04,,0.46%
2014-01-05,113.7,116.15,117.17,113.0,,-2.03%
2014-01-04,116.06,116.66,117.75,114.97,,-0.47%
2014-01-03,116.61,115.4,117.91,114.7,,0.85%
2014-01-02,115.63,112.57,116.1,111.68,,2.76%
2014-01-01,112.52,117.96,118.25,112.53,,-4.55%
2013-01-12,117.88,113.05,119.21,112.83,,4.33%
2013-01-11,112.99,108.47,113.42,106.78,,4.19%
2013-01-10,108.45,108.54,109.79,106.63,,-0.06%
2013-01-09,108.51,105.54,109.43,105.15,,2.82%
2013-01-08,105.53,105.66,107.33,104.04,,-0.09%
2013-01-07,105.62,105.1,107.22,103.09,,0.68%
2013-01-06,104.91,105.21,106.09,101.79,,-0.23%
2013-01-05,105.15,104.86,106.71,104.04,,0.32%
2013-01-04,104.81,99.25,107.47,97.93,,5.67%
2013-01-03,99.19,98.87,102.32,98.18,,0.35%
2013-01-02,98.84,100.55,103.68,97.43,,-1.67%
2013-01-01,100.52,94.77,100.64,93.93,,6.09%
2012-01-12,94.75,88.75,94.92,87.79,,6.50%
2012-01-11,88.97,85.64,89.41,83.24,,3.90%
2012-01-10,85.63,82.89,86.42,82.51,,3.36%
2012-01-09,82.85,82.07,85.58,81.57,,0.99%
2012-01-08,82.04,79.96,82.61,79.0,,2.58%
2012-01-07,79.98,84.31,84.33,78.34,,-4.86%
2012-01-06,84.07,80.66,84.66,79.57,,4.32%
2012-01-05,80.59,87.99,88.71,80.33,,-8.31%
2012-01-04,87.89,90.86,92.32,87.01,,-4.19%
2012-01-03,91.73,89.71,92.46,87.61,,2.25%
2012-01-02,89.71,82.79,91.25,82.37,,8.40%
2012-01-01,82.76,81.94,84.72,80.03,,0.94%
2011-01-12,81.99,84.93,85.67,81.72,,-3.37%
2011-01-11,84.85,89.08,89.89,83.18,,-4.76%
2011-01-10,89.09,84.72,91.38,82.4,,5.03%
2011-01-09,84.82,94.99,99.46,83.06,,-10.76%
2011-01-08,95.05,97.57,108.47,93.19,,-2.64%
2011-01-07,97.63,95.66,98.19,94.63,,1.94%
2011-01-06,95.77,95.34,97.71,94.1,,0.40%
2011-01-05,95.39,93.71,96.14,90.13,,1.77%
2011-01-04,93.73,90.55,94.21,90.48,,3.57%
2011-01-03,90.5,88.04,90.74,85.82,,2.88%
2011-01-02,87.97,86.85,88.75,85.21,,1.16%
2011-01-01,86.96,86.85,88.18,85.06,,0.01%
2010-01-12,86.95,83.36,88.0,83.08,,4.33%
2010-01-11,83.34,81.75,85.08,80.91,,1.82%
2010-01-10,81.85,84.91,86.41,81.4,,-3.67%
2010-01-09,84.97,82.92,86.52,81.83,,2.44%
2010-01-08,82.95,83.06,83.5,80.17,,-0.07%
2010-01-07,83.01,82.06,84.54,81.23,,1.17%
2010-01-06,82.05,78.97,82.58,77.47,,3.86%
2010-01-05,79.0,87.38,87.61,76.36,,-9.27%
2010-01-04,87.07,88.65,90.05,85.44,,-1.84%
2010-01-03,88.7,82.74,89.09,81.86,,7.16%
2010-01-02,82.77,84.69,86.23,81.75,,-2.78%
2010-01-01,85.14,89.79,91.06,84.94,,-5.15%
2009-01-12,89.76,85.87,90.09,85.23,,4.43%
2009-01-11,85.95,87.42,89.98,84.28,,-2.08%
2009-01-10,87.78,86.61,91.61,85.42,,1.28%
2009-01-09,86.67,87.75,89.42,85.89,,-1.34%
2009-01-08,87.85,88.76,90.67,87.15,,-0.86%
2009-01-07,88.61,88.69,90.03,83.97,,-0.10%
2009-01-06,88.7,89.25,91.53,86.81,,-0.73%
2009-01-05,89.35,86.44,89.77,84.08,,3.44%
2009-01-04,86.38,86.72,90.07,82.7,,-0.43%
2009-01-03,86.75,83.44,87.78,81.34,,4.13%
2009-01-02,83.31,77.42,84.8,76.17,,7.50%
2009-01-01,77.5,84.72,86.07,75.44,,-8.64%
2008-01-12,84.83,78.73,87.09,74.94,,7.82%
2008-01-11,78.68,85.21,86.72,76.33,,-7.49%
2008-01-10,85.05,94.67,95.28,78.77,,-10.12%
2008-01-09,94.63,98.65,98.86,92.95,,-4.22%
2008-01-08,98.8,102.95,103.83,98.52,,-4.05%
2008-01-07,102.97,103.94,105.11,102.83,,-0.91%
2008-01-06,103.92,101.08,104.7,100.25,,2.66%
2008-01-05,101.23,100.44,101.36,98.28,,0.90%
