Date,Price,Open,High,Low,Vol.,Change %
2018-01-05,1.3141,1.296,1.3218,1.2706,,1.40%
2018-01-04,1.2959,1.3523,1.3566,1.2923,,-4.01%
2018-01-03,1.3501,1.3584,1.3844,1.3451,,-0.58%
2018-01-02,1.358,1.3222,1.3635,1.318,,2.75%
2018-01-01,1.3217,1.291,1.3246,1.2633,,2.40%
2017-01-12,1.2907,1.3112,1.3119,1.2758,,-1.52%
2017-01-11,1.3106,1.2918,1.3132,1.2696,,1.51%
2017-01-10,1.2911,1.2885,1.2975,1.2682,,0.29%
2017-01-09,1.2874,1.3021,1.3035,1.2562,,-1.09%
2017-01-08,1.3016,1.2909,1.3281,1.2881,,0.90%
2017-01-07,1.29,1.353,1.355,1.281,,-4.61%
2017-01-06,1.3523,1.395,1.4038,1.3503,,-3.03%
2017-01-05,1.3945,1.3722,1.3986,1.3522,,1.69%
2017-01-04,1.3713,1.3263,1.3795,1.3148,,3.35%
2017-01-03,1.3269,1.3224,1.3641,1.3144,,0.37%
2017-01-02,1.322,1.3171,1.326,1.2943,,0.41%
2017-01-01,1.3166,1.3194,1.3339,1.2919,,-0.11%
2016-01-12,1.318,1.3211,1.3403,1.2869,,-0.14%
2016-01-11,1.3198,1.3561,1.4167,1.3141,,-2.62%
2016-01-10,1.3553,1.3506,1.3614,1.3137,,0.33%
2016-01-09,1.3509,1.332,1.3693,1.3152,,1.48%
2016-01-08,1.3312,1.3437,1.3613,1.3254,,-0.95%
2016-01-07,1.344,1.3241,1.3541,1.3108,,1.54%
2016-01-06,1.3236,1.3178,1.3545,1.3122,,0.47%
2016-01-05,1.3174,1.3097,1.3479,1.3029,,0.76%
2016-01-04,1.3075,1.3522,1.3813,1.2917,,-3.23%
2016-01-03,1.3512,1.3562,1.3638,1.3156,,-0.30%
2016-01-02,1.3552,1.3657,1.4484,1.3484,,-0.70%
2016-01-01,1.3648,1.3822,1.4699,1.3636,,-1.15%
2015-01-12,1.3807,1.2986,1.4145,1.2925,,6.31%
2015-01-11,1.2988,1.324,1.3316,1.2909,,-1.81%
2015-01-10,1.3228,1.3678,1.3728,1.3209,,-3.25%
2015-01-09,1.3672,1.3585,1.3871,1.3416,,0.65%
2015-01-08,1.3584,1.3557,1.4353,1.3204,,0.32%
2015-01-07,1.354,1.3355,1.3652,1.3255,,1.43%
2015-01-06,1.3349,1.323,1.3464,1.3075,,0.87%
2015-01-05,1.3234,1.2952,1.3352,1.2871,,2.22%
2015-01-04,1.2946,1.3041,1.318,1.2556,,-0.74%
2015-01-03,1.3042,1.3121,1.3167,1.2574,,-0.56%
2015-01-02,1.3115,1.3823,1.3823,1.3053,,-5.05%
2015-01-01,1.3813,1.1686,1.6092,1.1556,,18.23%
2014-01-12,1.1683,1.1826,1.2197,1.1592,,-1.12%
2014-01-11,1.1815,1.1698,1.1905,1.1543,,1.03%
2014-01-10,1.1695,1.1725,1.2026,1.1573,,-0.20%
2014-01-09,1.1719,1.1858,1.1917,1.1613,,-1.02%
2014-01-08,1.184,1.2003,1.2143,1.1816,,-1.32%
2014-01-07,1.1998,1.2034,1.2073,1.1859,,-0.24%
2014-01-06,1.2027,1.211,1.2273,1.195,,-0.69%
2014-01-05,1.211,1.245,1.2539,1.2056,,-2.65%
2014-01-04,1.244,1.249,1.2572,1.2251,,-0.36%
2014-01-03,1.2485,1.2563,1.2816,1.236,,-0.65%
2014-01-02,1.2567,1.2282,1.2656,1.2159,,2.42%
2014-01-01,1.227,1.1896,1.2507,1.1708,,3.24%
2013-01-12,1.1885,1.1711,1.2124,1.1671,,1.49%
2013-01-11,1.171,1.1503,1.175,1.1285,,1.83%
2013-01-10,1.1499,1.1393,1.173,1.1276,,0.97%
2013-01-09,1.1389,1.1315,1.144,1.1026,,0.56%
2013-01-08,1.1326,1.1094,1.1468,1.1005,,2.13%
2013-01-07,1.109,1.113,1.1154,1.0797,,-0.39%
2013-01-06,1.1133,1.0841,1.1305,1.0754,,2.52%
2013-01-05,1.0859,1.084,1.0903,1.0476,,0.21%
2013-01-04,1.0836,1.0717,1.1132,1.0651,,1.19%
2013-01-03,1.0709,1.1006,1.102,1.0638,,-2.61%
2013-01-02,1.0996,1.0956,1.1083,1.0825,,0.39%
2013-01-01,1.0953,1.084,1.104,1.0506,,0.96%
2012-01-12,1.0849,1.0701,1.0918,1.0524,,1.20%
2012-01-11,1.072,1.0738,1.0753,1.047,,-0.06%
2012-01-10,1.0726,1.0459,1.0785,1.038,,2.59%
2012-01-09,1.0455,1.0338,1.0545,1.0236,,1.25%
2012-01-08,1.0326,1.027,1.0411,1.0062,,0.57%
2012-01-07,1.0267,1.0723,1.0732,1.0213,,-4.17%
2012-01-06,1.0714,1.0626,1.0859,1.061,,0.84%
2012-01-05,1.0625,1.0879,1.094,1.0594,,-2.29%
2012-01-04,1.0874,1.0975,1.1076,1.075,,-1.65%
2012-01-03,1.1056,1.0934,1.1078,1.0628,,1.07%
2012-01-02,1.0939,1.0887,1.1193,1.0767,,0.49%
2012-01-01,1.0886,1.0867,1.0984,1.0634,,0.22%
2011-01-12,1.0862,1.1149,1.1223,1.0804,,-2.58%
2011-01-11,1.115,1.1392,1.1555,1.1085,,-2.08%
2011-01-10,1.1387,1.1514,1.1647,1.1164,,-1.49%
2011-01-09,1.1559,1.2121,1.271,1.1069,,-4.70%
2011-01-08,1.2129,1.205,1.4022,1.1845,,-0.20%
2011-01-07,1.2153,1.1452,1.2184,1.1242,,6.08%
2011-01-06,1.1456,1.1342,1.1891,1.1327,,1.12%
2011-01-05,1.1329,1.0924,1.155,1.0789,,3.94%
2011-01-04,1.09,1.0555,1.1027,1.0328,,3.23%
2011-01-03,1.0559,1.0454,1.1063,1.0359,,1.05%
2011-01-02,1.0449,1.0592,1.0688,1.0108,,-1.40%
2011-01-01,1.0597,1.0637,1.0766,1.0108,,-0.72%
2010-01-12,1.0674,1.0219,1.0973,1.0065,,4.53%
2010-01-11,1.0211,1.0367,1.0533,1.0056,,-1.53%
2010-01-10,1.037,1.0467,1.0716,1.03,,-0.96%
2010-01-09,1.0471,1.0484,1.0622,1.003,,-0.17%
2010-01-08,1.0489,0.9891,1.0524,0.9622,,6.10%
2010-01-07,0.9886,0.9879,1.0105,0.9666,,0.06%
2010-01-06,0.988,0.9033,0.9887,0.8965,,9.18%
2010-01-05,0.9049,0.9456,0.9647,0.9008,,-4.16%
2010-01-04,0.9442,0.9632,0.9663,0.9234,,-1.98%
2010-01-03,0.9633,0.9821,0.9831,0.9487,,-1.77%
2010-01-02,0.9807,1.0095,1.0126,0.9616,,-2.78%
2010-01-01,1.0087,1.0178,1.0229,0.9938,,-0.67%
2009-01-12,1.0155,1.0502,1.0585,1.0029,,-3.34%
2009-01-11,1.0506,1.057,1.0627,1.032,,-0.59%
2009-01-10,1.0568,1.0321,1.0579,1.0035,,2.39%
2009-01-09,1.0321,1.033,1.0667,1.0139,,-0.12%
2009-01-08,1.0333,1.0092,1.0451,0.9976,,2.43%
2009-01-07,1.0088,1.0703,1.0798,0.9902,,-5.78%
2009-01-06,1.0707,1.0216,1.082,1.0119,,4.71%
2009-01-05,1.0225,1.0473,1.064,1.0199,,-2.24%
2009-01-04,1.0459,1.1077,1.115,1.0364,,-5.46%
2009-01-03,1.1063,1.0904,1.1267,1.0618,,1.71%
2009-01-02,1.0877,1.0562,1.0935,1.0386,,2.94%
2009-01-01,1.0566,1.1363,1.1534,1.0451,,-7.33%
2008-01-12,1.1402,1.0199,1.1767,1.0176,,12.00%
2008-01-11,1.018,1.0451,1.0615,0.9829,,-2.80%
2008-01-10,1.0473,0.9489,1.1238,0.9375,,10.25%
2008-01-09,0.9499,0.9665,0.98,0.9345,,-1.65%
2008-01-08,0.9658,0.9765,0.9948,0.9462,,-1.19%
2008-01-07,0.9774,0.9989,1.0078,0.9699,,-2.28%
2008-01-06,1.0002,0.9543,1.0049,0.9522,,4.94%
2008-01-05,0.9531,0.972,0.9763,0.9378,,-2.06%
2008-01-04,0.9731,1.0311,1.0329,0.9647,,-5.82%
2008-01-03,1.0332,0.9471,1.0409,0.9446,,9.25%
2008-01-02,0.9457,0.9267,0.946,0.8971,,1.85%
2008-01-01,0.9285,0.8799,0.9474,0.8734,,5.61%
2007-01-12,0.8792,0.8834,0.9129,0.8466,,-0.45%
2007-01-11,0.8832,0.8138,0.9092,0.7981,,8.50%
2007-01-10,0.814,0.8527,0.8551,0.8124,,-4.42%
2007-01-09,0.8516,0.8736,0.8933,0.8483,,-2.50%
2007-01-08,0.8734,0.8881,0.8948,0.8674,,-1.72%
2007-01-07,0.8887,0.8704,0.8903,0.8543,,1.92%
2007-01-06,0.872,0.8731,0.8745,0.8516,,-0.16%
2007-01-05,0.8734,0.9189,0.9203,0.8711,,-4.93%
2007-01-04,0.9187,0.949,0.9537,0.9152,,-3.15%
2007-01-03,0.9486,0.9583,0.9769,0.941,,-1.08%
2007-01-02,0.959,0.9453,0.9617,0.9317,,1.46%
2007-01-01,0.9452,0.9571,0.9622,0.9333,,-1.16%
2006-01-12,0.9563,0.9518,0.9663,0.9408,,0.44%
2006-01-11,0.9521,0.902,0.9548,0.8979,,5.54%
2006-01-10,0.9021,0.8938,0.9046,0.8874,,0.89%
2006-01-09,0.8941,0.8962,0.9088,0.8874,,-0.27%
2006-01-08,0.8965,0.9191,0.9266,0.8911,,-2.44%
2006-01-07,0.9189,0.911,0.9246,0.8977,,0.56%
2006-01-06,0.9138,0.9031,0.9198,0.8881,,1.14%
2006-01-05,0.9035,0.9022,0.9326,0.8912,,0.19%
2006-01-04,0.9018,0.8957,0.9089,0.8773,,0.64%
2006-01-03,0.8961,0.8662,0.9059,0.8614,,3.45%
2006-01-02,0.8662,0.891,0.893,0.8611,,-2.85%
2006-01-01,0.8916,0.8863,0.9207,0.8826,,0.73%
2005-01-12,0.8851,0.8858,0.9058,0.8785,,-0.16%
2005-01-11,0.8865,0.917,0.9247,0.8826,,-3.30%
2005-01-10,0.9168,0.8986,0.9315,0.8919,,1.95%
2005-01-09,0.8993,0.9466,0.9697,0.8954,,-5.20%
2005-01-08,0.9486,0.9485,0.9711,0.9365,,0.00%
2005-01-07,0.9486,0.9552,0.9611,0.9306,,-0.77%
2005-01-06,0.956,1.0049,1.0083,0.953,,-4.88%
2005-01-05,1.005,1.0522,1.0557,1.0025,,-4.58%
2005-01-04,1.0532,1.011,1.0584,1.006,,4.19%
2005-01-03,1.0108,1.0606,1.0683,1.0048,,-4.81%
2005-01-02,1.0619,1.0428,1.0758,1.0189,,1.78%
2005-01-01,1.0433,1.0534,1.0595,1.0198,,-1.10%
2004-01-12,1.0549,1.0399,1.0825,1.0274,,1.43%
2004-01-11,1.04,1.0209,1.049,1.0058,,2.02%
2004-01-10,1.0194,1.0129,1.0269,0.9913,,0.59%
2004-01-09,1.0134,1.0358,1.0406,1.0055,,-2.22%
2004-01-08,1.0364,1.0438,1.0653,1.0196,,-0.26%
2004-01-07,1.0391,1.0666,1.0803,1.0317,,-2.61%
2004-01-06,1.0669,1.086,1.1018,1.0604,,-1.79%
2004-01-05,1.0863,1.0591,1.0962,1.0514,,2.87%
2004-01-04,1.056,1.0355,1.0646,1.0027,,2.05%
2004-01-03,1.0348,1.0582,1.0682,1.0149,,-2.20%
2004-01-02,1.0581,1.0531,1.0804,1.0515,,0.48%
2004-01-01,1.053,1.0473,1.0665,1.0221,,0.73%
2003-01-12,1.0454,1.004,1.0701,0.9999,,4.04%
2003-01-11,1.0048,0.9849,1.0108,0.9534,,2.07%
2003-01-10,0.9844,1.0247,1.0275,0.9806,,-4.14%
2003-01-09,1.0269,0.9894,1.027,0.9671,,3.67%
2003-01-08,0.9905,1.0252,1.046,0.982,,-3.38%
2003-01-07,1.0252,0.997,1.0481,0.9792,,2.83%
2003-01-06,0.997,1.0553,1.0572,0.9912,,-5.35%
2003-01-05,1.0534,1.055,1.0743,1.0346,,-0.44%
2003-01-04,1.0581,1.0864,1.0928,1.0374,,-2.74%
2003-01-03,1.0879,1.0933,1.1149,1.0556,,-0.79%
2003-01-02,1.0966,1.1155,1.13,1.0916,,-1.72%
2003-01-01,1.1158,1.1382,1.1392,1.106,,-1.98%
2002-01-12,1.1383,1.0534,1.143,1.0384,,7.88%
2002-01-11,1.0552,1.0553,1.0979,1.0515,,0.01%
2002-01-10,1.0551,1.0739,1.0815,1.0337,,-1.86%
2002-01-09,1.0751,1.0426,1.0786,1.0296,,3.39%
2002-01-08,1.0398,1.0668,1.0869,1.022,,-2.50%
2002-01-07,1.0665,1.0238,1.0974,1.0099,,4.01%
2002-01-06,1.0254,0.9798,1.0267,0.9726,,5.00%
2002-01-05,0.9766,0.969,0.9902,0.9614,,0.73%
2002-01-04,0.9695,0.9483,0.9708,0.9465,,2.20%
2002-01-03,0.9486,0.9436,0.9657,0.9278,,0.57%
2002-01-02,0.9432,0.9232,0.9522,0.9218,,2.25%
2002-01-01,0.9224,0.9572,0.976,0.9197,,-3.89%
2001-01-12,0.9597,0.9571,0.9699,0.9398,,0.14%
2001-01-11,0.9584,0.972,0.99,0.9468,,-1.40%
2001-01-10,0.972,0.9718,0.978,0.9419,,-0.30%
2001-01-09,0.9749,0.9293,0.9999,0.9073,,4.42%
2001-01-08,0.9336,0.8877,0.942,0.8863,,5.11%
2001-01-07,0.8882,0.8444,0.9001,0.8288,,5.20%
2001-01-06,0.8443,0.8548,0.8688,0.8395,,-1.39%
2001-01-05,0.8562,0.8863,0.8935,0.8543,,-3.29%
2001-01-04,0.8853,0.9039,0.9334,0.8832,,-2.19%
2001-01-03,0.9051,0.9206,0.9439,0.9033,,-1.61%
2001-01-02,0.9199,0.916,0.9278,0.8993,,0.38%
2001-01-01,0.9164,0.9295,0.944,0.9035,,-1.53%
2000-01-12,0.9306,0.8882,0.9311,0.8816,,4.74%
2000-01-11,0.8885,0.8461,0.8899,0.8445,,4.92%
2000-01-10,0.8468,0.8697,0.8744,0.8264,,-2.80%
2000-01-09,0.8712,0.8451,0.8749,0.8243,,3.04%
2000-01-08,0.8455,0.8892,0.8944,0.8426,,-4.96%
2000-01-07,0.8896,0.9046,0.9235,0.8754,,-1.79%
2000-01-06,0.9058,0.8893,0.9136,0.8789,,1.73%
2000-01-05,0.8904,0.8614,0.9004,0.8547,,3.25%
2000-01-04,0.8624,0.8707,0.9123,0.8479,,-0.95%
2000-01-03,0.8707,0.87,0.9016,0.8606,,0.05%
2000-01-02,0.8703,0.8728,0.9169,0.856,,-0.28%
2000-01-01,0.8727,0.9061,0.9432,0.8705,,-3.99%
